id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GW0202_assiete,Assiete,Assiete,assiete,GW0202_assiete,11.811,-15.739
GW0202_bambadinca-mancanha-de-cima,Bambadinca Mancanha de Cima,Bambadinca Mancanha de Cima,bambadinca-mancanha-de-cima,GW0202_bambadinca-mancanha-de-cima,11.811,-15.739
GW0202_banbadinca-balanta-de-baixo,Banbadinca Balanta de Baixo,Banbadinca Balanta de Baixo,banbadinca-balanta-de-baixo,GW0202_banbadinca-balanta-de-baixo,11.811,-15.739
GW0202_bele,Bele,Bele,bele,GW0202_bele,11.85,-13.933
GW0202_bequeje,Bequeje,Bequeje,bequeje,GW0202_bequeje,11.811,-15.739
GW0202_betesga,Betesga,Betesga,betesga,GW0202_betesga,11.833,-15.75
GW0202_bidjala,Bidjala,Bidjala,bidjala,GW0202_bidjala,11.811,-15.739
GW0202_blunde,Blunde,Blunde,blunde,GW0202_blunde,11.8,-15.733
GW0202_bomino,Bomino,Bomino,bomino,GW0202_bomino,11.811,-15.739
GW0202_bor,Bor,Bor,bor,GW0202_bor,11.85,-15.633
GW0202_branco,Branco,Branco,branco,GW0202_branco,11.8,-15.75
GW0202_bugate-gota,Bugate (Gota),Bugate (Gota),bugate-gota,GW0202_bugate-gota,11.811,-15.739
GW0202_bugunlar-c-papel,Bugunlar C Papel,Bugunlar C Papel,bugunlar-c-papel,GW0202_bugunlar-c-papel,11.811,-15.739
GW0202_bunau,Bunau,Bunau,bunau,GW0202_bunau,11.811,-15.739
GW0202_buno,Buno,Buno,buno,GW0202_buno,11.811,-15.739
GW0202_buta,Buta,Buta,buta,GW0202_buta,11.811,-15.739
GW0202_butafete,Butafete,Butafete,butafete,GW0202_butafete,11.811,-15.739
GW0202_cidade-de-prabis-bairo-reino-de-prabis,Cidade de Prabis Bairo Reino de Prabis,Cidade de Prabis Bairo Reino de Prabis,cidade-de-prabis-bairo-reino-de-prabis,GW0202_cidade-de-prabis-bairo-reino-de-prabis,11.811,-15.739
GW0202_cidade-de-prabis-bairro-ameta,Cidade de Prabis Bairro Ameta,Cidade de Prabis Bairro Ameta,cidade-de-prabis-bairro-ameta,GW0202_cidade-de-prabis-bairro-ameta,11.811,-15.739
GW0202_cidade-de-prabis-bairro-carnocam,Cidade de Prabis Bairro Carnocam,Cidade de Prabis Bairro Carnocam,cidade-de-prabis-bairro-carnocam,GW0202_cidade-de-prabis-bairro-carnocam,11.811,-15.739
GW0202_cidade-de-prabis-bairro-catarina,Cidade de Prabis Bairro Catarina,Cidade de Prabis Bairro Catarina,cidade-de-prabis-bairro-catarina,GW0202_cidade-de-prabis-bairro-catarina,11.811,-15.739
GW0202_cidade-de-prabis-bairro-novo,Cidade de Prabis Bairro Novo,Cidade de Prabis Bairro Novo,cidade-de-prabis-bairro-novo,GW0202_cidade-de-prabis-bairro-novo,11.811,-15.739
GW0202_cidade-de-prabis-bairro-sintcha-bombo,Cidade de Prabis Bairro Sintcha Bombo,Cidade de Prabis Bairro Sintcha Bombo,cidade-de-prabis-bairro-sintcha-bombo,GW0202_cidade-de-prabis-bairro-sintcha-bombo,11.811,-15.739
GW0202_crich,Crich,Crich,crich,GW0202_crich,11.811,-15.739
GW0202_cumura-de-padre,Cumura de Padre,Cumura de Padre,cumura-de-padre,GW0202_cumura-de-padre,11.811,-15.739
GW0202_cupol,Cupol,Cupol,cupol,GW0202_cupol,11.811,-15.739
GW0202_enteramento,Enteramento,Enteramento,enteramento,GW0202_enteramento,11.811,-15.739
GW0202_iem,Iem,Iem,iem,GW0202_iem,11.811,-15.739
GW0202_insiquil,Insiquil,Insiquil,insiquil,GW0202_insiquil,11.817,-15.767
GW0202_insumba,Insumba,Insumba,insumba,GW0202_insumba,11.811,-15.739
GW0202_intunhande,Intunhande,Intunhande,intunhande,GW0202_intunhande,11.811,-15.739
GW0202_jogre,Jogre,Jogre,jogre,GW0202_jogre,11.811,-15.739
GW0202_lala,Lala,Lala,lala,GW0202_lala,11.5,-15.383
GW0202_luanda,Luanda,Luanda,luanda,GW0202_luanda,11.811,-15.739
GW0202_mua,Mua,Mua,mua,GW0202_mua,11.811,-15.739
GW0202_naga,Naga,Naga,naga,GW0202_naga,11.817,-15.683
GW0202_nanque-de-estrada,Nanque de Estrada,Nanque de Estrada,nanque-de-estrada,GW0202_nanque-de-estrada,11.811,-15.739
GW0202_oco,Oco,Oco,oco,GW0202_oco,11.8,-15.7
GW0202_pacaque,Pacaque,Pacaque,pacaque,GW0202_pacaque,11.811,-15.739
GW0202_pastam,Pastam,Pastam,pastam,GW0202_pastam,11.811,-15.739
GW0202_pefine-balanta,Pefine Balanta,Pefine Balanta,pefine-balanta,GW0202_pefine-balanta,11.811,-15.739
GW0202_pefine-papel-areia,Pefine Papel Areia,Pefine Papel Areia,pefine-papel-areia,GW0202_pefine-papel-areia,11.811,-15.739
GW0202_pefine-pescador,Pefine Pescador,Pefine Pescador,pefine-pescador,GW0202_pefine-pescador,11.811,-15.739
GW0202_petale,Petale,Petale,petale,GW0202_petale,11.811,-15.739
GW0202_ponta-afia---ii-cassumai,Ponta Afia - II (Cassumai),Ponta Afia - II (Cassumai),ponta-afia---ii-cassumai,GW0202_ponta-afia---ii-cassumai,11.811,-15.739
GW0202_ponta-djamaica,Ponta Djamaica,Ponta Djamaica,ponta-djamaica,GW0202_ponta-djamaica,11.811,-15.739
GW0202_ponta-gardete,Ponta Gardete,Ponta Gardete,ponta-gardete,GW0202_ponta-gardete,11.817,-15.667
GW0202_ponta-joao-carlos,Ponta Joao Carlos,Ponta Joao Carlos,ponta-joao-carlos,GW0202_ponta-joao-carlos,11.85,-15.75
GW0202_ponta-nugueira-cumura-papel,Ponta Nugueira (Cumura Papel),Ponta Nugueira (Cumura Papel),ponta-nugueira-cumura-papel,GW0202_ponta-nugueira-cumura-papel,11.811,-15.739
GW0202_prite,Prite,Prite,prite,GW0202_prite,11.811,-15.739
GW0202_quecete,Quecete,Quecete,quecete,GW0202_quecete,11.811,-15.739
GW0202_sintcha-bobo,Sintcha Bobo,Sintcha Bobo,sintcha-bobo,GW0202_sintcha-bobo,11.811,-15.739
GW0202_suro,Suro,Suro,suro,GW0202_suro,11.783,-15.783
GW0202_tamara,Tamara,Tamara,tamara,GW0202_tamara,11.811,-15.739
GW0202_tandi,Tandi,Tandi,tandi,GW0202_tandi,11.811,-15.739
