id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GW0702_aidara-balanta,Aidara Balanta,Aidara Balanta,aidara-balanta,GW0702_aidara-balanta,11.5,-15.167
GW0702_aidara-beafada,Aidara Beafada,Aidara Beafada,aidara-beafada,GW0702_aidara-beafada,11.483,-15.167
GW0702_bambaia,Bambaia,Bambaia,bambaia,GW0702_bambaia,12.3,-14.7
GW0702_batambali,Batambali,Batambali,batambali,GW0702_batambali,11.487,-15.25
GW0702_batambali-balanta,Batambali Balanta,Batambali Balanta,batambali-balanta,GW0702_batambali-balanta,11.517,-15.167
GW0702_beja,Beja,Beja,beja,GW0702_beja,11.55,-15.167
GW0702_biassa,Biassa,Biassa,biassa,GW0702_biassa,11.567,-15.217
GW0702_bijante,Bijante,Bijante,bijante,GW0702_bijante,11.167,-16.067
GW0702_binhal,Binhal,Binhal,binhal,GW0702_binhal,11.533,-15.317
GW0702_bisasema-de-baixo,Bisasema de Baixo,Bisasema de Baixo,bisasema-de-baixo,GW0702_bisasema-de-baixo,11.487,-15.25
GW0702_bolanha-longe,Bolanha Longe,Bolanha Longe,bolanha-longe,GW0702_bolanha-longe,11.487,-15.25
GW0702_botche-bitchala-cudom,Botche Bitchala Cudom,Botche Bitchala Cudom,botche-bitchala-cudom,GW0702_botche-bitchala-cudom,11.487,-15.25
GW0702_bricama,Bricama,Bricama,bricama,GW0702_bricama,11.45,-14.95
GW0702_buduco,Buduco,Buduco,buduco,GW0702_buduco,11.733,-15.3
GW0702_cancumba-balanta,Cancumba Balanta,Cancumba Balanta,cancumba-balanta,GW0702_cancumba-balanta,11.5,-15.233
GW0702_catchampa-balanta,Catchampa Balanta,Catchampa Balanta,catchampa-balanta,GW0702_catchampa-balanta,11.487,-15.25
GW0702_catchobar-balanta,Catchobar Balanta,Catchobar Balanta,catchobar-balanta,GW0702_catchobar-balanta,11.487,-15.25
GW0702_catchobar-papel,Catchobar Papel,Catchobar Papel,catchobar-papel,GW0702_catchobar-papel,11.487,-15.25
GW0702_caunto,Caunto,Caunto,caunto,GW0702_caunto,11.467,-15.35
GW0702_caur-balanta,Caur Balanta,Caur Balanta,caur-balanta,GW0702_caur-balanta,11.487,-15.25
GW0702_caur-beafada-de-baixo,Caur Beafada de Baixo,Caur Beafada de Baixo,caur-beafada-de-baixo,GW0702_caur-beafada-de-baixo,11.487,-15.25
GW0702_caur-de-cima,Caur de Cima,Caur de Cima,caur-de-cima,GW0702_caur-de-cima,11.55,-15.133
GW0702_cidade-de-empada-bairro-ga-beafada,Cidade de Empada Bairro Ga-Beafada,Cidade de Empada Bairro Ga-Beafada,cidade-de-empada-bairro-ga-beafada,GW0702_cidade-de-empada-bairro-ga-beafada,11.487,-15.25
GW0702_cidade-de-empada-bairro-ga-cote,Cidade de Empada Bairro Ga-Cote,Cidade de Empada Bairro Ga-Cote,cidade-de-empada-bairro-ga-cote,GW0702_cidade-de-empada-bairro-ga-cote,11.487,-15.25
GW0702_cubia-biafada,Cubia Biafada,Cubia Biafada,cubia-biafada,GW0702_cubia-biafada,11.487,-15.25
GW0702_cudom-quissana,Cudom Quissana,Cudom Quissana,cudom-quissana,GW0702_cudom-quissana,11.487,-15.25
GW0702_dakarzinho,Dakarzinho,Dakarzinho,dakarzinho,GW0702_dakarzinho,11.487,-15.25
GW0702_darsalame-de-baixo,Darsalame de Baixo,Darsalame de Baixo,darsalame-de-baixo,GW0702_darsalame-de-baixo,11.487,-15.25
GW0702_darsalame-de-cima,Darsalame de Cima,Darsalame de Cima,darsalame-de-cima,GW0702_darsalame-de-cima,11.487,-15.25
GW0702_dua-djabi,Dua Djabi,Dua Djabi,dua-djabi,GW0702_dua-djabi,11.487,-15.25
GW0702_etudumbo,Etudumbo,Etudumbo,etudumbo,GW0702_etudumbo,11.487,-15.25
GW0702_francunda-balanta,Francunda Balanta,Francunda Balanta,francunda-balanta,GW0702_francunda-balanta,11.487,-15.25
GW0702_francunda-beafada,Francunda Beafada,Francunda Beafada,francunda-beafada,GW0702_francunda-beafada,11.487,-15.25
GW0702_fulacunda,Fulacunda,Fulacunda,fulacunda,GW0702_fulacunda,11.433,-15.417
GW0702_ga-tchuma-beafada,Ga Tchuma Beafada,Ga Tchuma Beafada,ga-tchuma-beafada,GW0702_ga-tchuma-beafada,11.487,-15.25
GW0702_ga-tchuma-manjaco,Ga Tchuma Manjaco,Ga Tchuma Manjaco,ga-tchuma-manjaco,GW0702_ga-tchuma-manjaco,11.487,-15.25
GW0702_ga--baque,Ga- Baque,Ga- Baque,ga--baque,GW0702_ga--baque,11.487,-15.25
GW0702_ga--pereira,Ga- pereira,Ga- pereira,ga--pereira,GW0702_ga--pereira,11.487,-15.25
GW0702_ga--potoque,Ga- Potoque,Ga- Potoque,ga--potoque,GW0702_ga--potoque,11.487,-15.25
GW0702_ga--tamba,Ga- Tamba,Ga- Tamba,ga--tamba,GW0702_ga--tamba,11.487,-15.25
GW0702_ga--tchombe-de-baixo,Ga- Tchombe de Baixo,Ga- Tchombe de Baixo,ga--tchombe-de-baixo,GW0702_ga--tchombe-de-baixo,11.487,-15.25
GW0702_ga--tchombe-de-cima,Ga- tchombe de Cima,Ga- tchombe de Cima,ga--tchombe-de-cima,GW0702_ga--tchombe-de-cima,11.487,-15.25
GW0702_ga-balanta,Ga-Balanta,Ga-Balanta,ga-balanta,GW0702_ga-balanta,11.487,-15.25
GW0702_ga-caba,Ga-Caba,Ga-Caba,ga-caba,GW0702_ga-caba,11.487,-15.25
GW0702_ga-chiquinho,Ga-Chiquinho,Ga-Chiquinho,ga-chiquinho,GW0702_ga-chiquinho,11.487,-15.25
GW0702_ga-comba-beafada,Ga-Comba Beafada,Ga-Comba Beafada,ga-comba-beafada,GW0702_ga-comba-beafada,11.487,-15.25
GW0702_ga-denos,Ga-Denos,Ga-Denos,ga-denos,GW0702_ga-denos,11.487,-15.25
GW0702_ga-djimba,Ga-Djimba,Ga-Djimba,ga-djimba,GW0702_ga-djimba,11.487,-15.25
GW0702_ga-genia,Ga-Genia,Ga-Genia,ga-genia,GW0702_ga-genia,11.487,-15.25
